      x         y         z     velocity      sfr
     57.43     89.91     76.20   8900.67      0.00
     44.65     77.71     76.31   7778.79      5.21
     49.65     49.45     76.35   7162.81      2.19
     51.01     94.13     76.71   8875.34      3.36
     51.35     96.73     76.82   9184.20      3.27
     59.54     42.91     76.88   6933.72      0.00
     47.40      3.79     76.96   6097.66      8.61
     58.28     43.16     76.97   5298.10      0.00
     48.89     53.70     77.08   7000.22      3.67
     50.73     80.88     77.10   7765.61      6.25
     59.90    123.44     77.34  10943.96      4.17
     43.52     48.27     77.40   7291.20      1.57
     41.38    137.47     77.77  11742.79      3.46
     55.97    119.49     77.99  10578.28      3.18
     44.69      4.60     78.06   6084.62     13.32
     53.16     34.58     78.11   6516.23     10.96
     49.01      4.61     78.24   5934.94      1.43
     42.27    115.15     78.38   9996.12      4.65
     48.03     33.47     78.52   6408.28      5.98
     42.16    109.65     78.90   9913.92      2.88
     50.82     88.35     79.09   8456.27      2.44
     57.78    119.07     79.10  10659.82      0.00
     47.15     34.09     79.13   6025.27     11.43
     47.23     55.51     79.16   6774.92      2.54
     45.15      4.97     79.30   5629.83      2.22
     57.75    119.01     79.30  10818.94      0.00
     57.79    119.00     79.32  10388.04      0.00
     56.37     91.38     79.46   8824.88      0.00
     42.64    110.02     79.47  10344.83      3.08
     44.54     96.26     79.61   8822.29      3.19
     46.36     56.23     79.86   7539.86      1.30
     48.83     52.12     79.92   7252.02      0.00
     45.34     64.07     79.98   7848.80      9.88
     44.85    107.34     80.19  10148.85      1.80
     47.05     57.07     80.24   7370.25      0.01
     47.10     56.98     80.25   7663.43     10.48
     43.61    110.95     80.26   9917.97      1.78
     45.71     58.88     80.29   7250.38      0.00
     50.25      8.54     80.68   6048.53      2.92
     47.96     50.81     80.70   7395.33      0.91
     48.20     99.92     80.78   9696.50      5.66
     46.07     63.72     80.79   8621.51      0.00
     47.26    101.73     80.83  10165.20      1.38
     44.10    110.29     80.84  10246.68      1.96
     49.07     38.12     81.15   6895.02      6.48
     50.32    112.24     81.19  10042.45      8.51
     48.38    110.37     81.20  10289.92      3.90
     54.38     79.42     81.29   8507.60      3.61
     51.81     98.39     81.32   9533.66      3.89
     44.82    110.02     81.33  10241.23     16.51
     46.83     53.48     81.35   6705.31      3.47
     44.08     81.58     81.36   8190.25      3.45
     59.71     29.47     81.36   6396.57      2.30
     59.18      0.25     81.39   5966.58      9.94
     46.59     65.36     81.60   7527.90      4.70
     45.38     55.29     81.74   7651.60      2.90
     50.20      9.65     81.94   6313.52      3.01
     46.31     55.11     81.96   7070.44      1.37
     57.57    121.08     81.98  10486.76      3.78
     56.91     35.49     82.04   6962.17      3.42
     47.48    102.56     82.07   9747.91      4.78
     44.06     56.84     82.16   7412.74      4.49
     50.67     37.31     82.20   6710.58      1.06
     46.38     64.18     82.26   7268.84      1.96
     44.30    139.55     82.35  12112.02      8.84
     53.67    102.68     82.50   9968.96      4.26
     59.92     19.15     82.50   6137.31      8.99
     44.45    139.04     82.61  12004.13      0.20
     47.04      6.30     82.67   6166.07      1.82
     52.93    101.79     82.73   9790.46      2.13
     40.59    135.44     82.77  11931.62      0.00
     57.53    103.53     82.77   9974.28      2.25
     47.44     43.25     82.86   7031.78      2.13
     51.79    108.64     82.92  10267.38      1.79
     46.38     86.44     83.00   8596.17     12.11
     46.51     86.76     83.01   8492.20      0.26
     59.27     23.96     83.02   6235.01      2.21
     48.14    102.05     83.07   9591.96    127.29
     42.91     58.06     83.08   7593.60      4.12
     58.36    113.02     83.09  10576.41      1.99
     47.99    101.90     83.13   9674.47      0.44
     43.81     82.22     83.29   7961.28      4.03
     46.79     66.68     83.31   7635.48      3.36
     56.19     33.93     83.38   6740.64      3.05
     56.77     79.80     83.42   8785.40      7.22
     48.12     69.19     83.48   8218.34      1.71
     55.58     79.49     83.61   8422.36      1.71
     40.79     63.66     83.74   7830.57      5.50
     41.89     61.95     83.78   7750.23      7.21
     51.85     34.35     83.88   6738.22      0.00
     47.42    139.82     83.92  12093.30      0.00
     48.51     69.74     83.93   7781.99      4.42
     58.93     22.42     84.21   6143.00      0.00
     53.53     75.36     84.29   8621.73      7.30
     56.43     32.38     84.29   6907.65      1.91
     44.11     53.46     84.31   7314.57      3.49
     58.92     43.75     85.02   6609.92      2.46
     50.98     45.32     85.10   7391.54      5.38
     50.70     45.19     85.18   7285.53      0.00
     50.26     45.43     85.40   6836.76      0.53
     46.39    126.97     85.76  11289.04      4.08
     48.90    139.57     85.90  11971.09      0.81
     49.55    139.61     85.97  12340.52      6.24
     41.05     79.94     86.07   8215.17      0.00
     57.96     42.87     86.18   6671.37      3.37
     40.32     81.11     86.28   8572.41      1.28
     55.77     29.80     86.35   6686.30      2.08
     54.37     31.90     86.38   7055.75      2.26
     40.75     79.83     86.49   7658.17      0.00
     47.71      6.79     86.54   6412.80      2.74
     41.18     79.67     86.74   8031.59      0.00
     42.23    134.79     86.76  11825.61      2.75
     54.88     36.02     87.02   6975.96      3.10
     46.24     99.26     87.14   9693.32      1.62
     41.67    130.60     87.20  11709.49      2.18
     53.48     73.97     87.48   8669.48      8.56
     54.52     28.72     87.70   6929.85      1.84
     54.76     31.94     87.75   7411.33      6.62
     44.71    129.00     87.82  11933.55      1.93
     55.03     26.78     87.97   6876.92      3.20
     42.50     47.66     88.09   7827.84      3.59
     45.73     56.90     88.23   7902.86      1.63
     57.44     15.38     88.33   6611.91      1.51
     52.33    138.14     88.87  12085.70      1.60
     43.97     49.21     88.97   7767.23      0.00
     44.08     49.28     88.98   7760.15      0.00
     44.40    131.98     89.00  11772.70      2.48
     44.40     50.08     89.05   7465.62      0.00
     43.49    135.25     89.11  12217.69      2.82
     44.25     49.47     89.24   7482.88      0.00
     44.44     49.66     89.62   7667.66      0.00
     52.54     41.83     89.75   7225.94      1.83
     57.67     42.48     89.78   7208.27      7.81
     46.23     47.60     89.81   7360.71      5.22
     40.63     15.83     89.95   6808.82      2.69
     45.15     66.63     90.02   8508.58      2.67
     53.58     73.82     90.02   8732.63      5.22
     59.22      1.29     90.52   7120.48      2.46
     55.66     30.37     90.75   7284.61      2.09
     51.57     54.15     90.88   7786.83      2.09
     44.51     53.63     91.39   7995.97      2.91
     40.27     87.42     91.71   9135.34      1.88
     54.88     30.01     91.78   7266.91      3.21
     53.19     76.53     92.11   8751.22      7.78
     54.35     76.82     92.29   8867.41      1.54
     43.72     96.43     92.51   9769.90      7.55
     54.62     76.90     92.64   8752.84      2.04
     41.60     48.70     92.65   7656.90      5.30
     48.36    105.26     92.65  10195.17      3.14
     45.21     55.67     92.78   7955.14      7.78
     56.28     31.08     92.85   6837.00      4.46
     45.72     80.40     92.88   8794.57      2.79
     42.70      8.56     92.92   7013.32      0.78
     40.74     58.53     92.93   8547.88      7.51
     52.91      7.37     93.47   7120.11      9.34
     40.68     56.28     93.78   7865.83      2.95
     45.67     56.16     94.03   8112.80      4.60
     57.58     41.58     94.32   7689.47      0.33
     57.61     41.89     94.39   7172.84     11.02
     54.81     35.90     94.66   7682.83      0.00
     40.17     82.20     94.86   9111.54      4.33
     54.80     36.00     95.04   7627.24      0.00
     51.13     92.10     95.18   9986.92      6.38
     49.97     63.36     95.44   8646.60      0.81
     57.98    129.15     95.73  11955.83      3.13
     56.86     43.69     95.92   7874.39      9.73
     57.60    137.49     95.98  12442.40      2.58
     43.43     71.77     96.02   8889.97      4.06
     52.07    132.79     96.10  12255.34      6.58
     44.00     10.13     96.25   7318.06      3.39
     58.63      2.88     96.29   7404.49      3.18
     56.88     43.83     96.42   7444.03      0.32
     40.89     83.15     96.54   9067.95      2.27
     47.83      3.12     97.33   7456.46      3.73
     53.01     51.17     97.34   8343.40      2.09
     56.39     46.04     97.38   7928.61      6.36
     45.13     88.27     97.47   9715.76      3.21
     44.25     67.24     97.57   8823.98     13.51
     58.78    129.26     97.65  12262.38      3.05
     59.38    125.19     97.67  11748.90      1.93
     42.69     97.18     97.80  10228.67     16.06
     53.76     48.85     97.81   8251.78      2.42
     45.83    104.02     97.87  10521.44      4.40
     42.63     97.20     97.95  10241.86      0.01
     51.19      1.99     97.97   7649.61     10.65
     42.54     97.15     98.01   9882.97      0.02
     48.33    112.34     98.03  11003.59      0.69
     57.48     28.64     98.03   7668.30      2.21
     43.54    115.09     98.09  11476.81      5.88
     42.31     62.31     98.13   8983.69      0.00
     46.50     90.95     98.17   9891.73      1.56
     53.39    109.75     98.25  10760.29      4.22
     56.99      5.14     98.25   7170.37      0.00
     41.37     71.61     98.26   8769.58      4.58
     54.72    131.72     98.38  12186.28      0.00
     49.92      2.67     98.39   6865.73      1.93
     47.62     90.56     98.43   9842.01      2.38
     51.69    119.18     98.51  11455.78      2.88
     45.62     63.44     98.58   9838.08      0.15
     56.96      5.09     98.73   7704.17      0.00
     53.78     51.88     98.75   8243.61      2.07
     59.75     29.63     98.79   7911.60      0.03
     55.22    133.67     98.91  12379.48      3.90
     45.43     63.77     98.93   8540.37      0.00
     56.69      5.96     98.99   6822.50      2.94
     45.46     62.98     99.03   8445.27      0.00
     53.60    131.12     99.03  12344.66      1.67
     59.61     29.58     99.07   7851.99      4.02
     42.13     98.12     99.08  10273.69      1.71
     46.82    118.69     99.41  11480.81      8.09
     51.33     70.32     99.46   9040.16      6.38
     56.21     47.31     99.50   8273.39      2.66
     46.89     62.80     99.56   8896.27      2.40
     43.00      6.19    100.25   7340.28      3.42
     48.38     90.18    101.26   9910.38      2.12
     40.86      5.88    101.28   7603.16      4.51
     42.43      6.30    101.45   7274.90      3.42
     51.99    129.00    101.52  12112.23      2.50
     40.31      8.40    101.78   7371.14      3.15
     53.49    126.51    101.96  11941.12      3.66
     55.15    124.28    101.98  12128.18      6.64
     52.73    127.77    102.00  12274.27      2.87
     40.03     10.47    102.07   7722.13      4.19
     52.01     57.87    102.25   9364.40      4.26
     54.10    136.16    102.32  12344.73      3.70
     55.69      8.96    102.36   7904.62      0.00
     48.29    124.91    102.47  11918.52      2.52
     48.12     91.64    102.56  10118.32      1.89
     40.56     73.24    102.66   9061.83      3.37
     54.91      9.63    102.68   8121.04      0.00
     42.91     76.88    102.77   9448.47      2.33
     59.43      4.45    102.88   7653.62      3.62
     51.42     57.55    103.16   9016.61      3.93
     52.46     57.71    103.38   8228.20      0.02
     52.46     57.75    103.39   8969.52     12.86
     43.53     77.16    103.50   9367.99      3.53
     54.00     10.99    103.64   7527.47      3.44
     49.60     70.16    103.74   9553.44      7.15
     59.83     50.69    103.78   8810.46      3.23
     57.51      7.26    103.82   7517.19      8.36
     49.64     70.29    103.89   9021.63      0.31
     44.97     59.44    104.00   8895.10      2.70
     57.62      7.36    104.04   7436.59      0.22
     46.87     66.31    104.17   9040.24      4.44
     47.78     67.69    104.23   9174.88     13.02
     43.72     71.15    104.32   9237.03      0.71
     42.94     71.49    104.40   9066.98      4.96
     59.55     24.05    104.44   7972.59      1.94
     57.21     74.26    104.46   9493.75      8.56
     58.08     49.16    104.69   8998.08      5.86
     44.24      3.15    104.80   7965.19      7.30
     58.12     49.84    104.99   8926.78      1.07
     52.89     27.52    105.30   8153.88      4.01
     43.82     32.74    105.74   8378.38      5.80
     52.79     66.83    105.79   9124.48      7.37
     58.37     48.18    105.79   8855.83      2.37
     53.39     11.62    105.81   8044.48      2.29
     40.57     64.04    105.85   9180.54      3.02
     57.03     76.02    106.12   9506.20      3.27
     57.50     54.77    106.17   9053.51      0.00
     49.15     65.07    106.24   9044.85      1.99
     56.27     25.50    106.42   8572.75     19.11
     57.69     57.26    106.44   8757.15      0.03
     57.17     55.09    106.50   9479.98      0.00
     56.15     25.45    106.54   8393.43      0.00
     56.15     25.56    106.56   8311.25      0.02
     57.60     54.99    106.60   9009.62      0.00
     57.05     55.50    106.71   9665.21      0.00
     43.06     28.46    106.73   8134.05      1.93
     57.97     56.85    106.74   8894.68      0.02
     57.15     55.56    106.80  10039.43      0.00
     57.05     55.78    106.92   8870.31      0.00
     47.04      5.11    106.98   8105.46      3.09
     57.38     55.85    107.09   9107.92      0.00
     58.28     56.27    107.34   8834.96      8.07
     56.99     56.85    107.36   8612.39      5.65
     59.40     59.07    107.36   8951.55      1.60
     55.06     75.89    107.47   9794.31      3.35
     40.93     20.14    107.55   8394.76      5.48
     43.64     53.27    107.77   9142.19      2.54
     48.94     23.71    108.13   8592.54      9.58
     49.01     23.79    108.13   8261.52      0.03
     43.61     20.62    108.21   8518.82      2.89
     49.38     21.97    108.24   8355.67      1.58
     58.65     83.57    108.46  10406.03     10.49
     55.79     27.30    108.47   8329.17      1.71
     43.25     19.99    108.53   8224.92      2.78
     55.56     11.65    108.55   8206.71      2.27
     54.44     24.74    108.85   8428.43      2.25
     54.51    134.72    108.97  13104.31      2.34
     58.20     65.14    109.32   9160.01      2.44
     54.84     27.50    109.44   8501.83      1.95
     54.91     14.24    109.57   8447.93      1.93
     49.11     19.12    109.58   8273.52      0.00
     54.73     15.24    109.77   8779.27      5.61
     48.35     19.49    109.79   8443.49      0.00
     48.41     19.49    109.85   8576.64      0.00
     54.23     18.02    109.87   8783.13      3.72
     56.51     56.34    109.93   8502.50      2.10
     58.96     49.88    110.00   8875.54     11.86
     58.50     51.61    110.04   9647.48      3.36
     54.31    135.24    110.10  12848.45      1.90
     48.61     19.19    110.32   8026.31      0.00
     54.95     24.31    110.40   8443.64      3.32
     58.78     48.19    110.40   9275.05      0.00
     59.47     47.46    110.76   8460.32      0.00
     49.03     18.99    110.82   8287.49      0.00
     40.98     58.24    110.93   9458.23      8.86
     43.40     22.90    110.98   8261.80      1.99
     58.89     48.02    111.07   9049.74      0.00
     54.14      1.25    111.20   8362.71      3.29
     59.12     48.26    111.24   9659.26      0.00
     54.23     18.82    111.28   8910.92      0.00
     54.89    138.37    111.49  13249.85      2.06
     57.51     35.03    111.50   8853.10      4.24
     54.37     18.82    111.62   8325.42      0.00
     54.36     18.99    111.82   7964.76      0.00
     55.08     24.11    112.03   8546.75      6.28
     55.35     16.05    112.29   9154.59      1.95
     52.78      5.98    112.32   8642.60      2.30
     58.51     51.72    112.56   9052.57      4.40
     56.57    130.41    113.07  12943.56      3.11
     43.60     23.34    113.10   8417.79      2.32
     53.67     79.88    113.28  10532.70      2.49
     43.06     96.53    113.58  11228.12      4.12
     54.48     15.92    113.64   8468.19      0.00
     54.21     16.15    113.65   9200.02      0.00
     41.53      0.42    113.84   8316.60      2.21
     53.99     80.36    114.38  10430.56      2.05
     59.49    107.31    114.69  11972.21      2.63
     59.43     42.28    115.33   9277.01      4.00
     57.44     30.52    115.54   9041.00      8.36
     58.40     35.30    115.67   9211.73      0.00
     58.02    128.68    116.11  13178.36      2.57
     46.53     81.45    116.32  10521.92      2.33
     59.65     40.74    116.69   9300.28     23.42
     50.88     42.13    116.96   9427.55      7.97
     53.94     12.34    117.79   9106.02      0.03
     53.87     23.61    118.17   8922.78      0.44
     53.06     25.65    118.19   9011.59      0.17
     53.23     25.79    118.23   8908.66      4.86
     51.80    138.25    118.26  13660.79      4.54
     55.04     12.20    118.29   9168.93      0.00
     53.58     23.78    118.39   8676.81      7.66
     53.70     13.29    118.53   8665.26      0.00
     54.10     12.51    118.75   9201.62      0.00
     56.47     15.78    118.83   8947.86      3.81
     59.76    118.57    118.90  12975.69      2.05
     54.01     21.38    118.93   8999.92      6.20
     55.80      0.33    119.01   9225.13      1.40
     54.55     12.58    119.04   8218.55      0.00
     54.56     12.55    119.05   8735.54      0.00
     54.60     12.61    119.05   9357.75      0.00
     59.79     12.97    119.23   8976.86      4.54
     54.11     12.97    119.33   8914.17      0.00
     54.21     12.25    119.63   9133.41      0.00
     56.06    138.95    120.20  14286.65      0.19
     56.16    138.98    120.35  13824.93      6.64
     52.98    133.46    120.40  13729.89      3.93
     59.20    131.81    120.64  13216.38      4.79
     59.33    132.60    120.65  13149.60      1.58
     49.29     85.43    120.94  11217.65      2.11
     56.10      2.56    121.13   9596.38      6.16
     59.86     18.11    121.24   9019.45      2.25
     59.40    110.25    121.42  12596.85      2.41
     59.38    125.09    121.48  13027.93      1.40
     55.96      4.57    121.57   9637.32      2.30
     53.06    136.16    121.79  13865.86      2.32
     42.88    116.27    121.91  12627.47      1.86
     55.12      9.11    122.01   9173.88      0.00
     52.08    138.47    122.16  13919.00      3.70
     59.17    128.85    122.18  13266.21     10.29
     54.97     11.65    122.31   9637.34     10.22
     57.65    138.57    122.82  14177.56      1.60
     53.13      7.95    122.91   9337.90      0.81
     53.09      9.90    123.02   9365.33      0.00
     53.17      9.81    123.12   9180.68      0.00
     54.27      9.46    123.22   9520.06      0.00
     53.81     10.16    123.30   9055.33      1.25
     54.18      9.04    123.32   9241.60      0.00
     54.28      9.48    123.34   9210.68      0.00
     40.88     93.16    123.37  11837.23      2.21
     54.29      9.50    123.40   8924.50      0.00
     49.28     87.99    123.44  11621.90      3.14
     58.97    123.39    123.53  13064.91      0.00
     52.89     11.68    123.71   9065.76      1.21
     54.84      4.03    123.73   9387.66      2.19
     41.14     94.20    123.92  11728.25      4.10
     57.63     97.49    123.95  12255.04      0.10
     57.78     97.48    123.99  12120.06     10.07
     58.45    123.38    124.03  12789.99      0.00
     56.56     96.27    124.05  11929.29      4.15
     58.21     98.00    124.20  12243.33      2.75
     56.63    122.32    124.48  13769.29      1.31
     58.74    123.07    124.57  13167.98      0.00
     57.20    109.96    124.62  12704.65      2.29
     57.78     21.96    124.65   9345.84      9.14
     57.06    139.12    124.79  12523.14      6.32
     57.26    129.73    124.80  13693.69      3.45
     40.60    101.01    124.81  12251.81      2.04
     56.76    140.87    124.85  13790.17      5.54
     54.38    138.47    124.95  14169.08      1.88
     55.67      0.21    125.05   9390.12      0.00
     55.61      0.76    125.10   9872.28      2.62
     56.91    137.88    125.24  13581.84      0.00
     58.65    123.20    125.37  13676.63      0.00
     57.55    137.05    125.46  13933.36      0.00
     51.18     14.28    125.50   9683.72      4.99
     42.65    101.80    125.51  12659.50      3.61
     56.49    136.78    125.55  13662.83      0.00
     41.09     19.85    125.62   9500.40      2.13
     58.53    122.55    125.76  12456.19      0.00
     56.81    137.05    125.78  13813.38      0.00
     56.60      1.47    125.83   9054.59      2.16
     55.84    138.35    125.87  14075.67      7.01
     58.53    109.88    126.15  12484.78     13.56
     55.34    132.88    126.17  13319.90      0.00
     57.96    137.54    126.41  14347.41      0.00
     59.66     42.94    126.41  10340.38      0.96
     51.71     50.34    126.48  10442.42      2.00
     41.71     81.92    126.53  11379.48      1.42
     55.48    107.39    126.58  13002.64      7.21
     56.74    137.27    126.63  13685.73      0.00
     49.91     15.26    126.79   9183.75      9.44
     57.58    110.64    126.87  12747.51      1.68
     55.26     49.01    126.94  10734.69      0.04
     52.39     54.84    126.96  10662.56     13.99
     55.28     49.01    126.96  10714.75      3.85
     59.89     42.78    127.07  10059.99      8.08
     42.29    100.47    127.21  12192.97      5.12
     46.40     17.80    127.27   9549.54      2.62
     57.71    110.35    127.36  12750.67      1.46
     55.84    131.58    127.46  14432.67      1.21
     58.68    112.95    127.60  13395.16      0.00
     57.14    132.11    128.09  13853.98      0.00
     56.84    112.84    128.10  12482.33      0.00
     56.40    120.19    128.13  13240.51      1.68
     57.63    126.24    128.14  13507.66      0.80
     55.29    107.71    128.22  13177.94     11.65
     57.54    136.21    128.28  13521.33      2.25
     56.85    132.07    128.31  13509.08      0.00
     57.40    112.83    128.38  13400.97      0.00
     54.24     53.08    128.42  10548.88      7.24
     55.32    130.89    128.43  13045.14      2.40
     55.94    132.41    128.46  13655.62      0.27
     57.21    112.56    128.48  13715.45      0.00
     48.07      7.03    128.55   9480.49      2.34
     54.21    128.50    128.82  12888.28      2.22
     47.35     17.67    129.07   9583.68      2.73
     41.65    140.10    129.24  14442.54      3.26
     53.68    107.53    129.40  12849.02      7.43
     54.45    108.94    129.78  13007.09      5.88
     56.82    104.02    129.87  12339.31      1.98
     57.02    128.18    129.97  13147.39      0.00
     54.94    126.07    130.00  13287.15      1.50
     54.10    115.89    130.14  13286.83     15.90
     55.38    124.89    130.29  13763.12      0.00
     55.87    129.21    130.29  12947.24      0.00
     57.26    129.68    130.37  12991.50      1.95
     57.36    128.57    130.37  13446.72      0.00
     55.19    132.55    130.39  13139.03      2.17
     56.19    127.80    130.42  13795.11      0.00
     56.45    128.55    130.49  13081.99      0.00
     59.88     44.33    130.72  10396.73      1.79
     41.73     99.41    130.76  12384.35      1.94
     54.87    124.88    130.79  13760.38      0.00
     56.65    128.47    130.87  12919.24      0.00
     53.77    113.95    131.10  12941.79      1.88
     47.59     89.14    131.25  12169.00      3.25
     58.17    128.53    131.46  13010.28      1.99
     54.85    112.13    131.60  12784.25      4.29
     44.68      5.88    131.75   9581.52     13.95
     56.12      0.45    131.86   9876.39      0.11
     51.69    108.19    131.87  12994.04      4.36
     40.15     64.36    131.91  11270.68      3.73
     59.11     88.83    131.95  12162.97      2.34
     50.43     87.79    131.96  12181.79      1.96
     47.12     88.63    132.10  12202.66      7.19
     55.46      0.56    132.11   9814.39      0.00
     55.45      0.51    132.14   9653.96     15.81
     53.41     15.15    132.24   9833.69      3.47
     45.62     54.57    132.25  11228.52      4.49
     45.72    103.31    132.40  12543.97      2.02
     54.08     37.42    132.77  10539.32      3.99
     59.70     28.73    132.78  10346.99      3.19
     59.53     87.99    132.82  12164.78      1.86
     56.74     70.55    133.01  11789.68      3.54
     56.55     54.72    133.02  11135.67      1.95
     54.85     10.45    133.36  10028.82      3.69
     43.64     12.31    133.58  10110.10      2.59
     40.57     97.58    133.99  12324.03      3.43
     43.29     13.76    134.15  10110.83      5.03
     54.51      7.98    134.86  10235.40      5.76
     54.46      7.95    134.91  10088.59      0.09
     42.24      3.10    135.21  10092.63      9.08
     52.87    127.46    135.64  12876.56      0.06
     59.79     28.89    135.66  10412.75      5.04
     53.73     11.52    135.71  10190.74      2.71
     45.44     60.47    135.77  11153.54      2.56
     59.85     28.25    135.77  10461.19      0.29
     52.91    123.40    135.92  12959.68      0.00
     54.73    133.73    136.17  13817.66      3.24
     53.35    108.33    136.22  13564.69      0.31
     52.89    127.33    136.32  13210.65     12.88
     53.16    123.47    136.32  14243.55      0.00
     53.14    123.67    136.43  14117.29      0.00
     52.99    123.75    136.52  12435.79      0.00
     53.42    108.69    136.54  13331.72      0.04
     53.45    108.58    136.64  13241.37     13.19
     44.22    108.06    136.66  13056.66      1.48
     55.46     19.87    136.82  10077.18     17.98
     53.87    123.88    136.85  12693.35      2.06
     41.05     87.42    136.87  12628.54     15.43
     53.63    124.28    137.05  14428.30      0.00
     56.05     72.32    137.15  12481.31      3.30
     51.73    117.43    137.54  13523.60      1.93
     40.83     68.49    137.60  11972.15      4.25
     41.77     89.71    137.64  12128.24      3.13
     59.60     30.14    137.72  10510.57      5.23
     52.52    119.32    137.75  14003.90      1.20
     59.97     32.49    137.90  10297.21      2.72
     52.10    111.11    137.96  13113.92      0.00
     52.12    111.19    138.18  12527.71      0.00
     50.80     84.84    138.26  12049.04      6.59
     53.18    122.40    138.28  13081.84      4.47
     48.35    108.80    138.35  13596.60      1.76
     54.18     75.77    138.38  11756.98      0.13
     54.22     75.68    138.39  12118.28      8.17
     54.45     14.45    138.40  10516.01      5.66
     52.66    122.21    138.67  14120.52      2.78
     57.45    103.77    138.79  12932.75      2.18
     55.19    137.77    138.88  14361.24      2.47
     50.92     84.26    138.92  12123.30      0.31
     54.30     13.23    138.92  10395.61      3.49
     42.87     82.49    139.09  12298.92      3.03
     52.12    122.78    139.10  12834.03      0.00
     52.67    122.43    139.13  12951.67      0.00
     54.71      7.37    139.15   9986.39      5.38
     51.57     74.90    139.30  12462.13      1.92
     44.84     88.74    139.42  12216.55      1.99
     51.03    123.58    139.58  13771.47      0.00
     54.58     13.40    139.70  10513.04      3.97
     54.11    129.54    139.71  13842.47      8.00
     54.24    129.48    139.76  13808.26      0.05
     56.49     56.98    139.76  11618.82      2.74
     57.93     67.94    139.76  12052.36      3.65
     50.10    108.57    139.78  13171.13      2.34
     55.21      3.42    139.79  10514.13      2.59
     54.99     54.90    139.83  11286.07      6.07
     41.65     44.39    140.01  11211.71      2.35
     54.29     55.83    140.06  11554.63      1.75
     59.63     57.89    140.14  11528.65      7.65
     52.08    108.74    140.34  13144.05      8.17
     48.51    108.32    140.41  13316.38      3.44
     45.05     15.27    140.63  10651.95      1.84
     52.04     48.82    140.75  11302.84      5.19
     53.21     54.93    140.84  11414.10      7.35
     40.78     66.31    140.90  11900.02      5.13
     51.33    123.03    140.91  13329.84      1.25
